詞語,讀音,備註
翹辮子,,
抬老三,,
老掉,,
塔冷,,
送終,,
喪事,,
棺材,,
壽材,,
孝堂,,
靈堂,,
孝子,,
哭喪棒,,
紙紮,,
牌位,,
座枱,,
羹飯,,
戴孝,,
利市布,,
白挺帶,,
大殮,,
落葬,,
墳墩頭,,
做七,,
頭七,,
五七,,
斷七,,
錫箔,,
錫箔灰,,
元寶,,
家堂,,
喜神,,
上墳,,
尋死路,,
上吊,,
死屍,,
骨殖甏,,
天老爺,,
菩薩,,
土地廟,,
關帝廟,,
城隍廟,,
閻六王,,
祠堂,,
香案,,
上供,,
蠟籤,,
蠟燭,,
香爐,,
燒香,,
求籤,,
籤訣,,
厾罩,,
罩板,,
陰罩,,
陽罩,,
竈家老爺,,
送竈,,
做道場,,
唸經,,
拆字,,
看風水,,
算命,,
算命先生,,
師孃,,
關亡,,
許願,,
還願,,
男人,,
女人,,
毛毛頭,,
小毛頭,,
小人,,
小囡,,
小囡兒,,
男小人,,
男小囡,,
小娘兒,,
小娘魚,,
女小娘,,
女小囡,,
老老頭,,
老頭子,,
老腳魚,,
老死人,,
老太,,
老太婆,,
老伯伯,,
姆娒,,
小夥子,,
城裏人,,
鄉下人,,
鄉下曲死,,
鄉下曲辮子,,
小腳娘娘,,
女人媽媽,,
一家門,,
自家人,,
外頭人,,
本地人,,
外路人,,
客邊人,,
外國人,,
客人,,
同年,,
同居住个,,
同居个,,
小朋友,,
小姊妹,,
孤孀,,
養新婦,,
招女婿,,
拖油瓶,,
姘頭,,
伴房小姐,,
薄相人,,
告化子,,
柺子,,
賊骨頭,,
小賊,,
三隻手,,
扒兒手,,
強盜,,
江北人,,
殺胚,,
蠟燭,,
老鬼,,
愀貨,,
洋盤,,
戇大,,
獨頭,,
綢頭,,
豬頭三,,
寶貨,,
老大,,
老兄,,
老二官,,
戶頭,,
敗家精,,
蚌殼精,,
下作胚,,
小氣胚,,
書獨頭,,
定頭貨,,
輕骨頭,,
賤骨頭,,
木人頭,,
老實頭,,
彎舌頭,,
三腳貓,,
半吊子,,
王伯伯,,
黃牛肩架,,
大亨,,
亨頭,,
大好佬,,
大物事,,
阿曲死,,
忘事徒,,
青肚皮狧猻,,
十三點,,
溫吞水,,
死人額骨頭,,
煨竈貓,,
倒頭光,,
老百曉,,
賊鐵嘴,,
餓殺鬼,,
討債鬼,,
尖屁股,,
拔腳花狸貓,,
殺千刀,,
刮進模子,,
